爻名,通し番号,卦番号,爻,爻辞,現代解釈の要約,パターンの分類,点数,キーワード,親となる卦,キーワードタグ,S1_基本スコア,S2_ポテンシャル,S3_安定性スコア,S4_リスク,S5_主体性,S6_変動性スコア,S7_総合評価スコア,論理キーワードタグ
風天小畜 上九,56,9,上九,既雨既處。…君子征凶。 （すでにあめふりすでにおる。…くんしゆけばきょう。） 意味：すでに雨が降り、止んでいる。…君子が進むと凶。,長い準備期間が終わり、目標が達成された状態。しかし、物事はピークに達しており、これ以上無理に進もうとすると、かえって失敗を招く。,やや破滅パターン,-1,"完了, 頂点, 油断, 引き際",風天小畜,"凶, 完了, 引き際, 油断, 頂点",25,40,24,75,能動,68,18,"状況:終極期, 力学:協力者なし, アクション:準備"
天澤履 初九,57,10,初九,素履。往无咎。 （そり。ゆけばとがなし。） 意味：質素な履き物で踏み行く。進んで咎めなし。,新しい環境に入る際、見栄を張らず、基本に忠実で誠実な態度で臨む。その謙虚な姿勢で進めば、問題なく事を始められる。,勝ちパターン,1,"謙虚, 誠実, 基礎",天澤履,"問題なし, 基礎, 誠実, 謙虚",75,40,48,35,能動,52,46,"状況:黎明期, 力学:協力者なし, 心理:謙虚"
天澤履 九二,58,10,九二,履道坦坦。幽人貞吉。 （みちをふむことたんたん。ゆうじんていきち。） 意味：平坦な道を踏み行く。隠者のように正しくしていれば吉。,争いや競争から離れ、穏やかで平坦な道を、正しく着実に歩んでいる状態。華やかさはないが、心穏やかで、非常に安定した幸運。,大勝ちパターン,2,"平穏, 安定, 正道",天澤履,"吉, 安定, 平穏, 正道",92,55,44,55,能動,36,42,"状況:安定期, 力学:下剋上リスク, 力学:協力者なし, 心理:正道堅持"
天澤履 六三,59,10,六三,眇能視。跛能履。履虎尾。咥人。凶。 （びょうよくみ。はよくふむ。とらのおをふむ。ひとをかむ。きょう。） 意味：片目が見え、足が不自由なのに、虎の尾を踏む。人に噛まれる。凶。,自身の能力不足を顧みず、過信して無謀な行動に出る。危険を軽視した結果、取り返しのつかない失敗や損害を被る、最悪の状況。,破滅パターン,-2,"過信, 無謀, 破滅",天澤履,"凶, 無謀, 破滅, 過信",8,40,44,65,受動,40,32,"状況:移行期, 力学:協力者あり, 力学:順当な力関係"
天澤履 九四,60,10,九四,履虎尾。愬愬。終吉。 （とらのおをふむ。さくさく。おわりにきち。） 意味：虎の尾を踏む。恐る恐る警戒する。最終的には吉。,避けられない危険な状況に直面するが、極度の警戒心と、細心の注意を払って慎重に行動することで、最終的にその難局を乗り切ることができる。,勝ちパターン,1,"慎重, 危機管理, 警戒",天澤履,"危機管理, 吉, 慎重, 警戒",67,40,40,35,能動,56,42,"状況:変革期, 力学:協力者なし, 心理:慎重"
天澤履 九五,61,10,九五,夬履。貞厲。 （かいり。ていあやうし。） 意味：決断して踏み行う。正しくしていれば危うい。（※解釈テキストでは「无咎」）,厳しい状況の中で、リーダーとして重大な意思決定を下す時。その道は正しくても、常に危険が伴う。強い意志と覚悟が試される。,停滞・中立パターン,0,"決断, 責任, 試練",天澤履,"リスクあり, 問題なし, 決断, 試練, 責任",67,60,64,50,能動,20,56,"状況:絶頂期, 力学:協力者なし, 心理:正道堅持"
天澤履 上九,62,10,上九,視履考祥。其旋元吉。 （りをみ、しょうをこうがう。そのめぐりげんきち。） 意味：自分の行動を振り返り、吉凶をよく考える。その反省によって大いに吉となる。,全てのプロセスが終わった後、これまでの行動を深く振り返り、成功と失敗の原因を徹底的に検証する。その経験からの学びが、最高の幸運を招く。,大勝ちパターン,2,"反省, 洞察, 完成",天澤履,"凶, 反省, 吉, 完成, 洞察",75,55,36,65,能動,56,34,"状況:終極期, 力学:協力者あり"
地天泰 初九,63,11,初九,抜茅茹。以其彙。征吉。 （ぼうをぬくにじょのごとし。そのたぐいをもってす。ゆけばきち。） 意味：茅を抜くと根が繋がっている。仲間と共に進めば吉。,良いプロジェクトの始まり。中心人物の行動に、多くの協力者が自然と連なり、良い影響が広がる。最高のスタートであり、大いに吉。,大勝ちパターン,2,"連携, 波及効果, 始まり",地天泰,"吉, 始まり, 波及効果, 連携",92,55,60,25,能動,52,62,"状況:黎明期, 力学:協力者あり"
地天泰 九二,64,11,九二,包荒。用渉大川。不遐遺。朋亡。得尚于中行。 （こうをつつむ。たいせんをわたるをもちう。かをとどめず。ほうほろぶ。ちゅうこうにたっとばるるをえる。） 意味：荒れ地をも包み込む。大河を渡る。遠きも忘れず。朋党は滅ぶ。中庸の道で尊敬される。,リーダーが、広い心で多様な人々を受け入れる包容力を示す。偏りのない公平な姿勢が、派閥を超えた真の信頼を生み、困難な事業も成し遂げられる。,大勝ちパターン,2,"包容力, 公平性, リーダーシップ",地天泰,"リーダーシップ, 公平性, 包容力",92,70,68,25,能動,20,72,"状況:困窮状態, 状況:安定期, 力学:協力者あり"
地天泰 九三,65,11,九三,无平不陂。无往不復。艱貞无咎。… （たいらにしてへいだらざるはなし。ゆきてかえらざるはなし。かんにしてていなればとがなし。…） 意味：平らで坂にならない道はない。行って戻らないものはない。困難に耐え正しくすれば咎めなし。,泰平の世にも、必ず変化の兆しや困難は訪れる。現状に慢心せず、常に危機意識を持ち、来るべき変化に備えるべきという警告。,停滞・中立パターン,0,"変化の兆し, 危機意識, 忍耐",地天泰,"危機意識, 問題なし, 変化の兆し, 忍耐",50,55,32,65,能動,52,32,"状況:困窮状態, 状況:移行期, 力学:下剋上リスク, 力学:協力者あり, 心理:正道堅持"
地天泰 六四,66,11,六四,翩翩。不富以其隣。不戒以孚。 （へんぺん。とまずしてそのとなりをもってす。いましめずしてまことをもってす。） 意味：ひらひらと舞い降りる。富を誇示せず隣人と共に。警戒心なく真心で交わる。,平和な状況下で、上位者が謙虚に下位者と交流し、信頼に基づいて協力する。警戒心なく、オープンに連携することで、さらなる発展が生まれる。,勝ちパターン,1,"交流, 謙虚, 信頼",地天泰,"交流, 信頼, 謙虚",75,40,60,25,受動,44,56,"状況:変革期, 力学:協力者あり, 心理:謙虚"
地天泰 六五,67,11,六五,帝乙帰妹。以祉元吉。 （ていいつそのいもうとをとつがす。もってさいわいをしげんきち。） 意味：帝乙が妹を嫁がせる。それによって大いに幸せになる。大いに吉。,リーダー（帝乙）が、下位者（妹）を尊重し、結びつくことで、組織や社会全体が最高の調和と繁栄を享受する、理想的な状態。,大勝ちパターン,2,"調和, 繁栄, 理想的関係",地天泰,"吉, 理想的関係, 繁栄, 調和",92,60,68,25,受動,20,68,"状況:絶頂期, 力学:協力者あり"
地天泰 上六,68,11,上六,城復于隍。勿用師。…兇。 （しろこうにかえる。しをもちうるなかれ。…きょう。） 意味：城壁が堀に崩れ落ちる。軍を用いるな。…凶。,平和と繁栄が極まり、衰退が始まる。平和に慣れすぎ、危機への対応が遅れ、これまで築き上げた秩序や安定が崩壊する。,破滅パターン,-2,"衰退, 崩壊, 時代の終わり",地天泰,"凶, 崩壊, 時代の終わり, 衰退",17,40,44,65,受動,32,32,"状況:終極期, 状況:組織戦, 力学:協力者あり, アクション:現状維持"
天地否 初六,69,12,初六,抜茅茹。以其彙。貞吉。亨。 （ぼうをぬくにじょのごとし。そのたぐいをもってす。ていきち。とおる。） 意味：茅を抜くと根が繋がっている。仲間と共に進めば吉。亨る。,閉塞の始まり。しかし、問題の根源を特定し、志を同じくする仲間と協力して早期に対処すれば、この閉塞を打ち破ることができる、という希望の兆し。,大勝ちパターン,2,"協力, 団結, 打開策",天地否,"協力, 吉, 団結, 打開策",83,50,52,25,受動,28,56,"状況:黎明期, 力学:協力者あり, 心理:正道堅持"
天地否 六二,70,12,六二,包承。小人吉。大人否亨。 （ほうしょう。しょうじんきち。たいじんひにしてとおらず。） 意味：包み受け入れる。小人には吉。大人には閉塞して亨らない。,現状維持のために、不正や不合理な要求を受け入れてしまう。責任のない者（小人）はやり過ごせるが、リーダー（大人）がこの道を選ぶと、事態は好転せず、失敗に繋がる。,やや破滅パターン,-1,"迎合, 現状維持, 妥協",天地否,"吉, 妥協, 現状維持, 迎合",50,65,76,25,受動,20,74,"状況:停滞期, 状況:安定期, 力学:協力者あり"
天地否 六三,71,12,六三,包羞。 （ほうしゅう。） 意味：恥を包み隠す。,自身の過ちや組織の不都合な事実を隠蔽しようとする状態。問題から目を背け、責任を回避するその姿勢が、さらなる孤立と信頼の喪失を招く。,やや破滅パターン,-1,"隠蔽, 責任回避, 不誠実",天地否,"不誠実, 責任回避, 隠蔽",25,40,44,45,受動,40,40,"状況:移行期, 力学:協力者あり, 力学:順当な力関係"
天地否 九四,72,12,九四,有命。无咎。疇離祉。 （めいあり。とがなし。ちゅうしをうる。） 意味：天命がある。咎めはない。仲間と共に幸せを得る。,閉塞状態を打開するための「天命」が下り、変革が始まる。この決断は正しく、咎められない。共に困難を乗り越えようとする仲間が現れ、事態が好転し始める。,勝ちパターン,1,"変革, 決断, リーダーシップ",天地否,"リーダーシップ, 問題なし, 変革, 決断",67,55,52,25,能動,44,58,"状況:困窮状態, 状況:変革期, 力学:協力者あり"
天地否 九五,73,12,九五,休否。大人吉。其亡其亡。繋于苞桑。 （ひをやすむ。たいじんきち。「そのほろびんそのほろびん」と、ほうそうにつなぐ。） 意味：閉塞が休止する。大人には吉。「滅びるぞ」と常に警戒し、桑の株に繋ぐように安定を保つ。,長い閉塞が終わり、安定を取り戻し始める。しかし、リーダーは決して油断せず、常に危機意識を持ち、得られた平和を強固なものにする努力を続ける。,勝ちパターン,1,"回復, 安定化, 危機意識",天地否,"危機意識, 吉, 回復, 安定化",83,85,76,25,能動,8,82,"状況:停滞期, 状況:絶頂期, 力学:協力者あり"
天地否 上九,74,12,上九,傾否。先否後喜。 （ひをかたむく。さきにひにしてのちによろこびあり。） 意味：閉塞が傾く（終わる）。初めは閉塞だが、後には喜ぶ。,閉塞状態が極限に達し、ついに状況が大きく反転する。最も暗い時期が過ぎれば、必ず夜明けが来るという希望。苦難を乗り越えた結果、大きな喜びがもたらされる。,大勝ちパターン,2,"大逆転, 再生, 希望",天地否,"再生, 大逆転, 希望",75,55,36,45,能動,44,42,"状況:停滞期, 状況:終極期, 力学:協力者あり"
